date,close,,,Fake date
11-Dec-14,55.19,,,11-Dec-07
4-Dec-14,56.64,,,4-Dec-07
27-Nov-14,49.39,,,27-Nov-07
20-Nov-14,47.59,,,20-Nov-07
13-Nov-14,47.59,,,13-Nov-07
6-Nov-14,42.83,,,6-Nov-07
30-Oct-14,41.94,,,30-Oct-07
23-Oct-14,42.06,,,23-Oct-07
16-Oct-14,42.11,,,16-Oct-07
9-Oct-14,43.84,,,9-Oct-07
2-Oct-14,44.22,,,2-Oct-07
25-Sep-14,44.19,,,25-Sep-07
18-Sep-14,46.02,,,18-Sep-07
11-Sep-14,46.68,,,11-Sep-07
4-Sep-14,46.16,,,4-Sep-07
28-Aug-14,45.95,,,28-Aug-07
21-Aug-14,53.05,,,21-Aug-07
14-Aug-14,53.15,,,14-Aug-07
7-Aug-14,55.71,,,7-Aug-07
31-Jul-14,56.54,,,31-Jul-07
24-Jul-14,55.51,,,24-Jul-07
17-Jul-14,45.88,,,17-Jul-07
10-Jul-14,42.13,,,10-Jul-07
3-Jul-14,34.21,,,3-Jul-07
26-Jun-14,27.46,,,26-Jun-07
19-Jun-14,28.51,,,19-Jun-07
12-Jun-14,28.84,,,12-Jun-07
5-Jun-14,36.44,,,5-Jun-07
29-May-14,39.08,,,29-May-07
22-May-14,40.78,,,22-May-07
15-May-14,40.78,,,15-May-07
8-May-14,40.78,,,8-May-07
1-May-14,47.75,,,1-May-07
24-Apr-14,49.11,,,24-Apr-07
17-Apr-14,50.64,,,17-Apr-07
10-Apr-14,52.53,,,10-Apr-07
3-Apr-14,52.86,,,3-Apr-07
27-Mar-14,63.87,,,27-Mar-07
20-Mar-14,64.35,,,20-Mar-07
13-Mar-14,60.49,,,13-Mar-07
6-Mar-14,60.49,,,6-Mar-07
27-Feb-14,62.72,,,27-Feb-07
20-Feb-14,68.51,,,20-Feb-07
13-Feb-14,68.51,,,13-Feb-07
6-Feb-14,68.92,,,6-Feb-07
30-Jan-14,68.89,,,30-Jan-07
23-Jan-14,68.92,,,23-Jan-07
16-Jan-14,70.45,,,16-Jan-07
9-Jan-14,73.47,,,9-Jan-07
2-Jan-14,73.09,,,2-Jan-07
26-Dec-14,84.02,,,26-Dec-06
19-Dec-14,89.82,,,19-Dec-06
12-Dec-14,89.84,,,12-Dec-06
5-Dec-14,90.38,,,5-Dec-06
28-Nov-14,87.77,,,28-Nov-06
21-Nov-14,87.37,,,21-Nov-06
14-Nov-14,87.38,,,14-Nov-06
7-Nov-14,82.3,,,7-Nov-06
31-Oct-14,79.4,,,31-Oct-06
24-Oct-14,84.39,,,24-Oct-06
17-Oct-14,84.39,,,17-Oct-06
10-Oct-14,84.39,,,10-Oct-06
3-Oct-14,89.78,,,3-Oct-06
26-Sep-14,90.39,,,26-Sep-06
19-Sep-14,93.61,,,19-Sep-06
12-Sep-14,93.89,,,12-Sep-06
5-Sep-14,95,,,5-Sep-06
29-Aug-14,97.24,,,29-Aug-06
22-Aug-14,98.61,,,22-Aug-06
15-Aug-14,99.96,,,15-Aug-06
8-Aug-14,99.93,,,8-Aug-06
1-Aug-14,99.18,,,1-Aug-06
25-Jul-14,99.18,,,25-Jul-06
18-Jul-14,98.04,,,18-Jul-06
11-Jul-14,97.17,,,11-Jul-06
4-Jul-14,93.17,,,4-Jul-06
27-Jun-14,90.68,,,27-Jun-06
20-Jun-14,87.9,,,20-Jun-06
13-Jun-14,87.9,,,13-Jun-06
6-Jun-14,77.73,,,6-Jun-06
30-May-14,78.39,,,30-May-06
23-May-14,70.26,,,23-May-06
16-May-14,65.87,,,16-May-06
9-May-14,65.09,,,9-May-06
2-May-14,66.86,,,2-May-06
25-Apr-14,66.63,,,25-Apr-06
18-Apr-14,68.96,,,18-Apr-06
11-Apr-14,68.35,,,11-Apr-06
4-Apr-14,68.05,,,4-Apr-06
28-Mar-14,75.84,,,28-Mar-06
21-Mar-14,78.13,,,21-Mar-06
14-Mar-14,66.73,,,14-Mar-06
7-Mar-14,68.67,,,7-Mar-06
28-Feb-14,68.8,,,28-Feb-06
21-Feb-14,67.31,,,21-Feb-06
14-Feb-14,67.83,,,14-Feb-06
7-Feb-14,66.86,,,7-Feb-06
31-Jan-14,66.49,,,31-Jan-06
24-Jan-14,58.45,,,24-Jan-06
17-Jan-14,56.19,,,17-Jan-06
10-Jan-14,53.79,,,10-Jan-06
3-Jan-14,53.15,,,3-Jan-06
27-Dec-14,51.49,,,27-Dec-05
20-Dec-14,51.49,,,20-Dec-05
13-Dec-14,50.71,,,13-Dec-05
6-Dec-14,49.84,,,6-Dec-05
29-Nov-14,47.05,,,29-Nov-05
22-Nov-14,52.9,,,22-Nov-05
15-Nov-14,52.9,,,15-Nov-05
8-Nov-14,52.31,,,8-Nov-05
1-Nov-14,52.31,,,1-Nov-05
25-Oct-14,49.18,,,25-Oct-05
18-Oct-14,48.79,,,18-Oct-05
11-Oct-14,50.22,,,11-Oct-05
4-Oct-14,54.8,,,4-Oct-05
27-Sep-14,52.68,,,27-Sep-05
20-Sep-14,53,,,20-Sep-05
13-Sep-14,52.57,,,13-Sep-05
6-Sep-14,52.18,,,6-Sep-05
30-Aug-14,50.75,,,30-Aug-05
23-Aug-14,50.72,,,23-Aug-05
16-Aug-14,55.08,,,16-Aug-05
